sequenceID,min.log.lambda,max.log.lambda
12_chr3,-3.28043909075932,inf
12_chr4,-3.75967280670319,inf
130_chr1,-2.76765875144411,inf
130_chr11,-3.8898251477571,inf
130_chr17,-1.72663228120733,inf
130_chr2,-2.50569279988668,inf
130_chr3,-2.66554506619169,inf
130_chr4,-2.73032596430474,inf
131_chr1,-2.65890716400134,inf
131_chr11,-inf,1.16648786308391
131_chr17,-2.37038344030867,inf
131_chr2,-3.06579295372194,inf
131_chr3,-3.97938507426072,inf
131_chr4,-3.48923293801789,inf
132_chr1,0.18263141174437,inf
132_chr11,-0.753680790502552,inf
132_chr17,-0.381839631334158,inf
132_chr2,-0.925522100513634,inf
132_chr3,-1.73270391920564,inf
132_chr4,-0.675425511765499,inf
133_chr1,-0.0032064705244209,inf
133_chr11,1.59340279789167,inf
133_chr2,-inf,3.13992665769669
133_chr3,-2.3141828568592,inf
133_chr4,-2.3403302622306,inf
134_chr1,-1.32354130193203,inf
134_chr11,-4.68113799024105,inf
134_chr17,-3.47494118552651,inf
134_chr2,-4.54713302131993,inf
134_chr3,-4.49495316918562,inf
134_chr4,-3.45386826668559,inf
135_chr1,-2.09690318324723,inf
135_chr11,-2.45445268553026,inf
135_chr17,-1.06084602378677,inf
135_chr2,-2.05162481642624,inf
135_chr3,-2.31193923446269,inf
135_chr4,-1.5940821087553,inf
136_chr1,-1.57437844869009,inf
136_chr11,-2.13747088938366,inf
136_chr17,-1.76507622025753,inf
136_chr2,-2.02259748600458,inf
136_chr3,-2.49581135932849,inf
136_chr4,-2.09867554215653,inf
137_chr1,-1.46319929103771,inf
137_chr11,-2.47459916457854,inf
137_chr17,-2.22513263092521,inf
137_chr2,-inf,2.16127187696915
137_chr3,-2.24378866269735,inf
137_chr4,-1.45090493256625,inf
138_chr1,-inf,1.50007542936677
138_chr11,-0.790054087682705,inf
138_chr17,-1.71653099879687,inf
138_chr2,-2.74815219887846,inf
138_chr3,-1.44842451730521,inf
138_chr4,-0.527220033782089,inf
139_chr1,-2.61844731208168,inf
139_chr11,-inf,1.7241404703477
139_chr17,-inf,0.522616286838423
139_chr2,-3.45618513248875,inf
139_chr3,-inf,0.599945737261004
139_chr4,-4.3905998742975,inf
13_chr1,0.366866754402124,inf
13_chr11,-1.59313273785538,inf
13_chr17,-2.44940446306832,inf
13_chr2,-2.52677122267308,inf
13_chr3,-2.48507949525121,inf
13_chr4,-1.54283966348089,inf
140_chr1,-0.334239813461672,inf
140_chr11,-2.28085279760739,inf
140_chr17,-1.79529054352193,inf
140_chr2,-inf,0.53214162174457
140_chr3,-2.2496620078609,inf
140_chr4,-1.46271535098431,inf
141_chr1,-2.10351100268058,inf
141_chr11,-2.48374869783344,inf
141_chr17,-2.21910745587465,inf
141_chr2,-inf,-0.828177236086183
141_chr3,-2.38680971083035,inf
141_chr4,-1.87445115597216,inf
142_chr1,0.366786934929726,inf
142_chr11,-0.701089942051026,inf
142_chr17,-0.135288942518172,inf
142_chr2,-0.982407561651588,inf
142_chr3,-1.62300220854808,inf
142_chr4,-0.54848642936199,inf
143_chr1,-1.22641070047457,inf
143_chr11,-2.65344805665957,inf
143_chr17,-2.43198493524015,inf
143_chr2,-1.64891680876728,inf
143_chr3,-2.18203135463345,inf
143_chr4,-1.78499979065803,inf
144_chr1,-inf,4.4125860371458
144_chr11,-1.32739861084305,inf
144_chr17,-inf,1.66347395911281
144_chr2,-inf,2.18597014354302
144_chr3,-2.00878978497463,inf
144_chr4,-1.78197380822653,inf
145_chr1,-inf,1.6244380887739
145_chr11,-inf,1.43822975258004
145_chr17,-inf,1.88299845633034
145_chr2,-inf,1.15649832678373
145_chr3,-inf,1.58255087829183
145_chr4,-inf,-0.0344935704207099
146_chr1,-1.67658366254634,inf
146_chr11,-2.53474269732409,inf
146_chr17,-2.28873257937023,inf
146_chr2,-2.86951831458994,inf
146_chr3,-3.31285829980632,inf
146_chr4,-2.09996609777302,inf
147_chr11,-inf,1.91208006648432
147_chr17,-inf,0.765947653362924
147_chr2,-2.67132058396558,inf
147_chr3,-3.73710989124937,inf
147_chr4,-3.52915838079037,inf
148_chr1,-0.983725301205138,inf
148_chr11,-3.81399819073401,inf
148_chr17,-2.80356380589239,inf
148_chr2,-2.29412814943139,inf
148_chr3,-3.95290089288673,inf
148_chr4,-3.71148163256229,inf
149_chr1,-1.89442912576797,inf
149_chr11,-inf,1.70181054188705
149_chr17,-inf,1.96762093957242
149_chr2,-inf,0.223522290668362
149_chr3,-inf,2.4484626815322
149_chr4,-2.52476996591227,inf
14_chr11,-3.25299250641045,inf
14_chr17,-2.57356008740172,inf
14_chr2,-inf,3.6391846358987
14_chr3,-2.19619118727864,inf
14_chr4,-3.02804730099882,inf
150_chr1,0.312897746645926,inf
150_chr11,-inf,2.26221765971517
150_chr17,-inf,1.43434085938651
150_chr2,-2.79338717020246,inf
150_chr3,-2.22024888806981,inf
150_chr4,-1.22698578981869,inf
151_chr1,-1.26300770612814,inf
151_chr11,-2.94519321441803,inf
151_chr17,-1.08574237140869,inf
151_chr2,-3.19071395167897,inf
151_chr3,-2.64933344186799,inf
151_chr4,-2.4371650887702,inf
152_chr1,-0.0467413946382694,inf
152_chr11,-0.878422959723019,inf
152_chr17,-1.36652286315672,inf
152_chr2,-1.72842897417434,inf
152_chr3,-2.67599448528464,inf
152_chr4,-2.47359842974241,inf
153_chr1,-0.427000141593961,inf
153_chr11,-inf,-1.13096220911621
153_chr17,-inf,0.278995541033
153_chr2,-inf,1.45184622863754
153_chr3,-2.95681094150192,inf
153_chr4,-inf,0.598681876156626
154_chr1,-2.29944478292824,inf
154_chr11,-2.75185964155237,inf
154_chr17,-2.09093086947348,inf
154_chr2,-2.35984082666725,inf
154_chr3,-2.39511637668313,inf
154_chr4,-2.03526680123305,inf
155_chr1,-1.5694993061199,inf
155_chr11,-inf,2.73207721323898
155_chr17,-inf,1.62552396270065
155_chr2,-2.55367571122025,inf
155_chr3,-3.14350684004385,inf
155_chr4,-2.67486288930032,inf
156_chr1,-1.54189778266899,inf
156_chr11,-1.51122916243589,inf
156_chr17,-1.43842177012322,inf
156_chr2,-1.84956476087871,inf
156_chr3,-1.76038737699505,inf
156_chr4,-1.29433821750066,inf
157_chr1,-3.08421964157705,inf
157_chr11,-2.62397696569137,inf
157_chr17,-1.78054015156506,inf
157_chr2,-1.63999739561793,inf
157_chr3,-2.36922310768891,inf
157_chr4,-1.95543306171879,inf
158_chr1,-0.817474870085549,inf
158_chr11,-0.969349123434085,inf
158_chr17,-1.35404928448965,inf
158_chr2,-1.95834251367758,inf
158_chr3,-2.09912224501699,inf
158_chr4,-2.22627637763519,inf
159_chr1,-2.52821535778189,inf
159_chr11,-3.21398400729557,inf
159_chr17,-1.88845071461482,inf
159_chr2,-2.95181746363442,inf
159_chr3,-2.06965011601533,inf
159_chr4,-2.19249475934801,inf
15_chr1,-inf,2.94371819105941
15_chr11,-2.23803042702898,inf
15_chr17,-2.7819166010319,inf
15_chr2,-inf,3.3593406009708
15_chr3,-1.5553781129381,inf
15_chr4,-3.29398135924111,inf
160_chr1,-2.79847615659404,inf
160_chr11,-2.18864417486378,inf
160_chr17,-1.88872222310863,inf
160_chr2,-1.88731770384106,inf
160_chr3,-2.26450197811837,inf
160_chr4,-3.63994538455127,inf
161_chr1,-inf,3.62253148385618
161_chr17,-inf,1.55058123228696
161_chr2,-inf,4.79404057994266
161_chr3,-2.25317160045366,inf
161_chr4,-1.70879797141474,inf
162_chr1,-1.64594626915184,inf
162_chr11,1.29870702595228,inf
162_chr17,-inf,1.73395019706197
162_chr2,-3.16966359701631,inf
162_chr3,-inf,1.72427994075206
162_chr4,-2.20879407989153,inf
163_chr1,-0.6459754379189,inf
163_chr11,-3.29467890443416,inf
163_chr17,-3.06319847331874,inf
163_chr2,-3.4917937363771,inf
163_chr3,-2.6944423452525,inf
163_chr4,-2.59059956264909,inf
164_chr1,-0.731175513353232,inf
164_chr11,-3.07812182344838,inf
164_chr17,-3.5951747967624,inf
164_chr2,-4.25633423272042,inf
164_chr3,-3.64475306443566,inf
164_chr4,-2.91848166957968,inf
165_chr1,-1.23060425436579,inf
165_chr11,-1.97230784768163,inf
165_chr17,-1.79145048352892,inf
165_chr2,-2.40010009986334,inf
165_chr3,-2.16452741933307,inf
165_chr4,-0.687648990329501,inf
166_chr1,-1.72872249286094,inf
166_chr11,-2.94156329774878,inf
166_chr17,-2.27442100898433,inf
166_chr2,-2.99369240830781,inf
166_chr3,-2.39384240900894,inf
166_chr4,-2.45146809824182,inf
167_chr1,-1.62565074790082,inf
167_chr11,-inf,1.61962472744444
167_chr17,-inf,1.9893296186361
167_chr2,-2.88075135629261,inf
167_chr3,-inf,1.06688804012325
167_chr4,-inf,0.978301036992587
168_chr1,-inf,2.68230512234647
168_chr11,-inf,1.58204507943406
168_chr17,-1.24783825664575,inf
168_chr2,-inf,1.80583906743084
168_chr3,-inf,-0.105055976340511
168_chr4,-2.90432775192386,inf
169_chr1,-inf,3.32833612610896
169_chr11,-1.97843892771408,inf
169_chr17,-inf,1.28033495922353
169_chr2,-1.84031191613812,inf
169_chr3,-1.32644907731185,inf
169_chr4,-2.03986737704065,inf
16_chr1,-0.209014158153228,inf
16_chr11,-1.84438273295408,inf
16_chr17,-2.80846111399621,inf
16_chr2,-2.39214832591735,inf
16_chr3,-3.13049465952378,inf
16_chr4,-1.34452140295473,inf
170_chr1,-1.75963572646879,inf
170_chr11,-3.54012769937087,inf
170_chr17,-3.39208847325991,inf
170_chr2,-3.64380244963728,inf
170_chr3,-3.64075310247573,inf
170_chr4,-3.32015192487807,inf
171_chr1,-1.51599351632636,inf
171_chr11,-3.36849255313037,inf
171_chr17,-2.22707696354274,inf
171_chr2,-3.35241727112565,inf
171_chr3,-3.31556291163117,inf
171_chr4,-3.25719683419258,inf
172_chr1,-1.26416377944306,inf
172_chr11,-2.38996995377283,inf
172_chr17,-inf,0.55790244697257
172_chr2,-3.84434452978627,inf
172_chr3,-inf,0.747023913048998
172_chr4,-inf,-0.0414106873664389
173_chr1,-2.73316794530827,inf
173_chr11,-inf,0.924580484958247
173_chr17,-inf,1.66606222887759
173_chr2,-2.91382138997031,inf
173_chr3,-3.39089227270794,inf
173_chr4,-inf,0.341962975256269
175_chr1,-2.35500453571508,inf
175_chr11,-2.05331292080307,inf
175_chr17,-2.84614705802651,inf
175_chr2,-3.75617348579731,inf
175_chr3,-2.63136534550262,inf
175_chr4,-3.30463883970492,inf
176_chr1,-3.25292872413112,inf
176_chr11,-2.81094300609697,inf
176_chr17,-1.71371170079031,inf
176_chr2,-2.79530852256331,inf
176_chr3,-1.99137139951715,inf
176_chr4,-2.06761231467542,inf
177_chr1,-0.843481462241392,inf
177_chr11,-2.71969299407349,inf
177_chr17,-2.09822536159321,inf
177_chr2,-2.46395465220611,inf
177_chr3,-2.38238291818685,inf
177_chr4,-3.3590963085856,inf
178_chr1,-inf,1.38792467040521
178_chr11,-1.37163612723276,inf
178_chr17,-0.519970072758251,inf
178_chr2,-1.88462775112468,inf
178_chr3,-1.81162369068634,inf
178_chr4,-0.875272470678619,inf
17_chr1,0.915581676348721,inf
17_chr11,-inf,0.7279072809714
17_chr17,-inf,1.34392803546472
17_chr2,-3.63809991059535,inf
17_chr3,-3.9918703855925,inf
17_chr4,-2.47594938802283,inf
180_chr1,-inf,2.94993108127245
180_chr11,-inf,1.42377389793969
180_chr17,-inf,0.409745786511649
180_chr2,-inf,1.36268636246601
180_chr3,-1.13910293496103,inf
180_chr4,-2.21998324190413,inf
181_chr11,-3.13873040990624,inf
181_chr17,-1.33603912630794,inf
181_chr2,-2.78224980386037,inf
181_chr3,-2.5763841954,inf
181_chr4,-1.26854277055176,inf
182_chr1,-inf,3.28505257616346
182_chr11,-inf,0.493712062319785
182_chr17,-inf,0.733407591775946
182_chr2,-inf,4.04304993303989
182_chr3,-1.35202161138312,inf
183_chr1,-inf,3.70921248796031
183_chr11,-4.08611524138194,inf
183_chr17,-2.27455701641043,inf
183_chr2,-2.22679775215415,inf
183_chr3,-4.62775344435683,inf
183_chr4,-2.87293440094364,inf
184_chr1,-0.937830959296931,inf
184_chr11,-2.802107410479,inf
184_chr17,-2.81874926226504,inf
184_chr2,-1.34394551258831,inf
184_chr3,-1.61300920599849,inf
184_chr4,-1.60518556256329,inf
185_chr1,-1.1659472652854,inf
185_chr11,-inf,2.04566684038915
185_chr17,-inf,2.17920509237942
185_chr2,-2.65523367405764,inf
185_chr3,-3.38346969794552,inf
185_chr4,-2.41983942910556,inf
186_chr1,-0.248516388611437,inf
186_chr11,-2.95967864639417,inf
186_chr17,-2.19799850808925,inf
186_chr2,-3.54137660211946,inf
186_chr3,-2.9963326339061,inf
186_chr4,-1.5194218678452,inf
187_chr1,-0.328836299397326,inf
187_chr11,-2.72756812019559,inf
187_chr17,-0.973983194589599,inf
187_chr2,-2.29297437041084,inf
187_chr3,-1.12547342446354,inf
187_chr4,-2.51921979029681,inf
188_chr1,-2.04647847368143,inf
188_chr11,-inf,1.87044285481103
188_chr2,-inf,2.13079692501541
188_chr3,-inf,2.48465871595891
188_chr4,-3.04442729910947,inf
189_chr1,-0.228921649030864,inf
189_chr11,-inf,2.8844839172655
189_chr17,-inf,2.64414394865202
189_chr2,-inf,-0.19682195412055
189_chr3,-inf,1.47811256258446
189_chr4,-1.61560445023091,inf
18_chr1,-1.20012568990971,inf
18_chr11,-inf,1.332750695731
18_chr17,-inf,1.67822563985501
18_chr2,-2.80291952404612,inf
18_chr3,-inf,2.48942330405145
18_chr4,-inf,2.18621852778528
190_chr1,-1.58297504068161,inf
190_chr11,-inf,2.26163472608594
190_chr17,-inf,2.51438446671075
190_chr2,-1.48755367985719,inf
190_chr3,-inf,1.36042835659477
190_chr4,-inf,1.95275277469006
191_chr1,-inf,1.59408583560705
191_chr11,-inf,1.4341930425224
191_chr17,-inf,1.34242411408889
191_chr2,-2.92882977269516,inf
191_chr3,-inf,1.33343654201012
191_chr4,-2.1906642299195,inf
192_chr1,-inf,0.91925759139234
192_chr11,-2.34169857674946,inf
192_chr17,-inf,-0.951317301815342
192_chr2,-inf,1.55501418215884
192_chr3,-2.37284813989395,inf
192_chr4,-1.77809921593904,inf
193_chr1,-2.58754970254539,inf
193_chr11,-2.49847198753198,inf
193_chr17,-2.32114106291556,inf
193_chr2,-1.97396039038044,inf
193_chr3,-2.43158476959732,inf
193_chr4,-3.49477907473502,inf
194_chr1,-2.54067941795394,inf
194_chr11,-2.94073726086504,inf
194_chr17,-inf,1.24235919076958
194_chr2,-2.52289837698839,inf
194_chr3,-inf,1.88111504753072
194_chr4,-inf,0.939285873580521
195_chr1,-1.91293750031479,inf
195_chr11,-2.87640464588165,inf
195_chr17,-2.22205353342521,inf
195_chr2,-2.53224889741645,inf
195_chr3,-2.42718888362884,inf
195_chr4,-4.44036322661082,inf
196_chr1,0.354260409061408,inf
196_chr11,-0.946341798817221,inf
196_chr17,-0.236225918834844,inf
196_chr2,-0.792176423452254,inf
196_chr3,-1.4972945668207,inf
196_chr4,-0.702315109606579,inf
197_chr1,-0.82619958960674,inf
197_chr11,-2.8630724609983,inf
197_chr17,-0.492666882457045,inf
197_chr2,-2.66878742833584,inf
197_chr3,-2.72437949783423,inf
197_chr4,-2.36959372454225,inf
198_chr1,-1.354176895389,inf
198_chr11,-2.99791451691964,inf
198_chr17,-2.18692739695056,inf
198_chr2,-3.22424001777776,inf
198_chr3,-2.8805308753465,inf
198_chr4,-2.69446110455898,inf
199_chr1,-0.59414512524074,inf
199_chr11,-2.70662010955546,inf
199_chr17,-1.88838309180203,inf
199_chr2,-2.9286431049021,inf
199_chr3,-2.75359222524144,inf
199_chr4,-1.66915343130907,inf
19_chr1,-0.375042703601847,inf
19_chr11,-3.20720093902969,inf
19_chr17,-1.74277534284725,inf
19_chr2,-2.6596007061141,inf
19_chr3,-3.56300725952017,inf
19_chr4,-1.2246462641807,inf
1_chr1,0.195727051766728,inf
1_chr11,-inf,2.06739808397873
1_chr17,-1.81065319423317,inf
1_chr2,-1.1087553605429,inf
1_chr3,-1.00065642410922,inf
1_chr4,-0.995123241844029,inf
200_chr1,-2.49287288222639,inf
200_chr11,-2.82656470842608,inf
200_chr17,-1.80205135046287,inf
200_chr2,-2.45778908378764,inf
200_chr3,-2.39248915444144,inf
200_chr4,-1.71337404453253,inf
201_chr1,-inf,2.81154298796284
201_chr11,-inf,2.069627948285
201_chr17,-inf,1.29705826240561
201_chr2,-inf,1.92890296294038
201_chr3,-2.66701090694632,inf
201_chr4,-2.25915407324333,inf
202_chr1,-0.895371400769634,inf
202_chr11,-inf,2.63946196635221
202_chr17,-inf,2.98222253144197
202_chr2,-inf,1.96071224630972
202_chr3,-inf,2.9957226137634
202_chr4,-inf,2.270263144594
203_chr1,-1.78127895558075,inf
203_chr11,-2.15312625256799,inf
203_chr17,-2.32540475694071,inf
203_chr2,-2.15130828081579,inf
203_chr3,-2.23932119957232,inf
203_chr4,-2.69407940185116,inf
204_chr1,-2.88791095339456,inf
204_chr11,-inf,2.85329420088614
204_chr17,-inf,2.26437884298252
204_chr2,-3.03256793700117,inf
204_chr3,-3.69604971873221,inf
204_chr4,-2.18316493888006,inf
205_chr1,-2.72262861943473,inf
205_chr11,-1.54965672702646,inf
205_chr17,-1.84884995093941,inf
205_chr2,-1.9816639293507,inf
205_chr3,-1.95241199483058,inf
205_chr4,-1.94730298765679,inf
206_chr1,-0.610589428217669,inf
206_chr11,-2.10489911770393,inf
206_chr17,-2.71737810379194,inf
206_chr2,-1.8605839051937,inf
206_chr3,-2.08985800418605,inf
206_chr4,-2.69107102960939,inf
207_chr1,-inf,4.50388526240608
207_chr11,-1.15798947739495,inf
207_chr17,-inf,2.08195598412568
207_chr2,-inf,3.47155906966049
207_chr3,-3.65488303181799,inf
208_chr1,-2.76246560424385,inf
208_chr11,0.802141990510431,inf
208_chr17,-3.08467521725354,inf
208_chr2,-2.34103761872474,inf
208_chr3,-2.42818949943418,inf
208_chr4,-3.69919505728697,inf
209_chr1,-inf,1.58665323152422
209_chr11,-inf,4.14994602484463
209_chr17,-inf,2.92512647959338
209_chr2,-inf,0.22556357856833
209_chr3,-1.38416455069211,inf
209_chr4,-1.14019112566956,inf
20_chr1,-inf,2.75223297494833
20_chr11,-3.62325137989794,inf
20_chr17,-inf,1.64141056404824
20_chr2,-3.01260895200294,inf
20_chr3,-2.75947819035609,inf
20_chr4,-2.68251717451351,inf
210_chr1,-2.71814621111592,inf
210_chr11,-2.69563397675129,inf
210_chr17,-3.23118618426825,inf
210_chr2,-3.53920772877623,inf
210_chr3,-0.981628021493393,inf
210_chr4,-2.87216666373813,inf
211_chr1,-2.58549348727582,inf
211_chr11,-inf,-0.183813974331214
211_chr2,-2.44691922287895,inf
211_chr3,-inf,-0.326979143984416
211_chr4,-3.28699707597939,inf
212_chr1,-inf,1.67032681404744
212_chr11,-0.783270256444327,inf
212_chr17,-0.283537066881297,inf
212_chr2,-1.68678272686848,inf
212_chr3,-1.32429063419703,inf
212_chr4,-0.821865465899226,inf
213_chr1,-2.43459730630154,inf
213_chr11,-2.76600129946674,inf
213_chr17,-2.03043223713951,inf
213_chr2,-2.34083360714338,inf
213_chr3,-2.92365008415094,inf
213_chr4,-2.7419801784506,inf
214_chr1,-inf,4.22923165469217
214_chr11,-2.8510427332984,inf
214_chr17,-inf,2.03427909009211
214_chr2,-inf,3.66081540949502
214_chr3,-2.16231529072347,inf
214_chr4,-3.12956623795784,inf
215_chr1,-inf,5.31490934403891
215_chr11,-1.97347549310312,inf
215_chr17,-inf,1.85930987430706
215_chr2,-1.83068806148074,inf
215_chr3,0.186422814535106,inf
215_chr4,-inf,0.349767566992795
216_chr1,-inf,2.88004887360689
216_chr11,-inf,3.15119995780445
216_chr17,-inf,2.79112471794241
216_chr2,-0.735127649789179,inf
216_chr3,-inf,2.20593096356345
216_chr4,-1.93853218826558,inf
217_chr1,-0.814524501098759,inf
217_chr11,-3.32984834280263,inf
217_chr17,-inf,-1.05939824924993
217_chr2,-3.58676303497362,inf
217_chr3,-3.4697816025108,inf
217_chr4,-3.03649390167393,inf
218_chr1,-0.419128615079381,inf
218_chr11,-0.137896143280529,inf
218_chr17,-2.59214912384275,inf
218_chr2,-1.38480560264044,inf
218_chr3,-1.85267862328269,inf
218_chr4,-2.38479430581231,inf
219_chr1,-0.176892140653296,inf
219_chr11,-1.74811119534346,inf
219_chr17,-2.66751380367728,inf
219_chr2,-0.540284696754131,inf
219_chr3,-3.11583122818499,inf
219_chr4,-2.20964446008616,inf
21_chr1,-0.0791130514813436,inf
21_chr11,-2.71358726473234,inf
21_chr17,-1.57487795357264,inf
21_chr2,-2.92774037093759,inf
21_chr3,-3.69650582253554,inf
